id,urban_code,case_code,num_code,附帶條件ID,case_codes,content,remark
41,14,08,04,140804,08,變更部分應依「南投縣都市計畫委員會審議都市計畫土地變更回饋原則」辦理回饋。,
42,14,08,05,140805,08,1.變更部分應依「南投縣都市計畫委員會審議都市計畫土地變更回饋原則」辦理回饋。 2.變更範圍內之設施將由鹿谷鄉農會負責維護管理，並應簽訂協議書納入計畫書載明。,
43,24,01,01,240101,01,開發時應提供至少100部以上之停車位。,
44,24,01,02,240102,01,應依「南投縣都市計畫委員會審議都市計畫土地變更回饋原則」規定辦理回饋。,
45,24,02,03,240203,02,園道用地兼供溝渠使用之現有溝渠應提供休憩或整體景觀綠美化設施，惟不得加蓋作為其他用途為原則，如有需要應經南投縣都市計畫設計委員會審議。,
46,24,02,04,240204,02,1.建蔽率不得超過60%、容積率不得超過300%。 2.日後重建時，依「南投縣都市計畫委員會審議都市計畫土地變更回饋原則」規定於臨芳美路側留設變更面積25%之廣場供公眾使用。 3.開發建築行為應提送南投縣都市設計審議委員會審議。,
47,13,0,02,130601,06,1.回饋部分依照「南投縣都市計畫委員會審議都市計畫土地變更回饋原則」規定辦理。至於回饋部分，以變更面積公告現值加四成之總金額30%折算代金予魚池鄉公所。2.本案請魚池鄉公所成立基金專戶並應將代金以作為本案鄰近地區之徵收、購置或開闢公共設施用地之使用。,
48,18,26,02,182602,26,申請建築時，留設停車位數需依建築技術規則表列停車空間設置標準之兩倍設置，該供停車使用土地得計入法定空地。,
49,18,26,03,182603,26,1.僅供設置販賣區、停車場、休閒步道、觀景台等設施，並應以植草磚，植栽等實施景觀綠美化。2.申請販賣區建築時，留設停車位數除依建築技術規則停車空間設置標準設置外，應至少劃設申請基地面積的百分之十土地供作平面式停車空間使用，該供停車空間得計入法定空地。3. 依「南投縣都市計畫委員會審議都市土地變更回饋原則」辦理回饋。,
50,18,26,04,182604,26,除配合保留耶穌堂使用外，僅供設置人行步道、觀景台等設施，並應以植草磚，植栽等實施景觀綠美化。平均坡度超過30%者應作為開放空間使用，不得變更地形地貌及做為建築使用。,
51,18,26,05,182605,26,該基地開發時應提供與基地面積相等之停車面積。,
52,18,26,06,182606,26,變&#63745;範圍內應至少應提供 25％之公共設施用地，以集中&#63949;設為原則，且須有通&#63799;&#63898;接之；或以應提供之公共設施用地面積乘以變&#63745;後毗鄰地價區段使用性質相同土地之平均三&#63886;公告現值折算代&#63754;方式抵付。,
53,18,26,07,182607,26,依「南投縣都市計畫委員會審議都市計畫土地變更回饋原則」辦理。,
54,18,26,08,182608,26,依「南投縣都市計畫委員會審議都市計畫土地變更回饋原則」辦理。並於細部計畫妥為規定容許使用項目應與慈恩塔相關者為限。,
55,18,27,09,182709,27,現有建築物重建前，得依「旅專甲(二)」容許使用項目使用。,
