名稱,分類,次分類,定位地址,回報地址,X坐標,Y座標,來源
水肥廠,特殊設施,污水處理廠,臺中市南屯區永春東路1號,臺中市南屯區大興里19鄰永春東路1號,214838.276,2669932.217,TGOS
光復新村污水處理廠,特殊設施,污水處理廠,臺中市霧峰區中正路660巷10號,臺中市霧峰區坑口里2鄰中正路660巷10號,218856.871,2660301.055,TGOS
石岡壩水資源回收中心,特殊設施,污水處理廠,臺中市石岡區豐勢路1274之1號,臺中市石岡區石岡里7鄰豐勢路1274之1號,226179.035,2685799.929,TGOS
黎明水資源回收中心,特殊設施,污水處理廠,臺中市南屯區龍富路五段25號,臺中市南屯區新生里1鄰龍富路五段25號,212004.363,2672037.56,TGOS
中部科學園區后里污水廠,特殊設施,污水處理廠,臺中市后里區后科路三段2號,臺中市后里區厚里里10鄰后科路三段2號,221952.423,2690671.981,TGOS
文山水資源回收中心,特殊設施,污水處理廠,臺中市南屯區永春路42之12號,臺中市南屯區春社里3鄰永春路42之12號,211096.779,2670543.446,TGOS
臺中港特定區水資源回收中心,特殊設施,污水處理廠,臺中市龍井區龍港路901號,臺中市龍井區麗水里13鄰龍港路901號,198299.399,2677951.859,TGOS
正隆污水廠,特殊設施,污水處理廠,臺中市后里區枋寮路7之25號,臺中市后里區墩南里12鄰枋寮路7之25號,220888.5,2686765.984,TGOS
大甲幼獅工業區污水處理廠,特殊設施,污水處理廠,臺中市大甲區工五路1號,臺中市大甲區日南里19鄰工五路3號,214096.535,2700694.228,TGOS
豐原水資源回收中心,特殊設施,污水處理廠,臺中市豐原區豐原大道二段598號,臺中市豐原區豐田里13鄰豐原大道二段598號,221630.304,2681183.875,TGOS
水南水資源回收中心,特殊設施,污水處理廠,臺中市西屯區甘肅路二段123號,臺中市西屯區大河里17鄰甘肅路二段123號,214929.144,2674335.618,TGOS
大里區立新水資源回收中心,特殊設施,污水處理廠,臺中市大里區新仁路二段262號,臺中市大里區內新里10鄰新仁路二段262號,218586.929,2667533.5,TGOS
新光水資源回收中心,特殊設施,污水處理廠,臺中市太平區祥順路一段5號,臺中市太平區宜佳里1鄰祥順路一段5號,220732.913,2670079.538,TGOS
臺中市垃圾焚化廠,特殊設施,垃圾場或掩埋場,臺中市南屯區文山南巷500號,臺中市南屯區文山里39鄰文山南巷500號,209244.562,2671975.359,TGOS
臺中市烏日垃圾焚化廠,特殊設施,垃圾場或掩埋場,臺中市烏日區慶光路800號,臺中市烏日區東園里11鄰慶光路800號,211275.393,2665771.646,TGOS
臺中市后里資源回收廠(垃圾焚化廠),特殊設施,垃圾場或掩埋場,臺中市后里區堤防路556號,臺中市后里區舊社里4鄰堤防路556號,219386.897,2686892.639,TGOS
臺中市清潔隊,特殊設施,垃圾場或掩埋場,臺中市北屯區中平路987號,臺中市北屯區中平路987號,215563.196,2675879.43,Google
豐原區清潔隊,特殊設施,垃圾場或掩埋場,臺中市豐原區市政路2號,臺中市豐原區田心里4鄰市政路2號,221367.647,2681770.137,TGOS
太平區清潔隊,特殊設施,垃圾場或掩埋場,臺中市太平區太平路12號,臺中市太平區平安里1鄰太平路12號,221988.35,2667974.45,TGOS
大雅區清潔隊,特殊設施,垃圾場或掩埋場,臺中市大雅區通山路65號,臺中市大雅區通山路65號,209697.8503,2679415.011,Google
大里區清潔隊,特殊設施,垃圾場或掩埋場,臺中市大里區健東路181號,臺中市大里區塗城里33鄰健東路181號,221756.48,2663924.64,TGOS
烏日區清潔隊,特殊設施,垃圾場或掩埋場,臺中市烏日區溪南路一段506巷500弄199號,臺中市烏日區螺潭里1鄰溪南路一段506巷500弄199號,212158.22,2664092.515,TGOS
龍井區清潔隊,特殊設施,垃圾場或掩埋場,臺中市龍井區中華路一段陸橋南巷1號,臺中市龍井區田中里8鄰中華路一段陸橋南巷1號,203420.16,2676343.64,TGOS
清水區清潔隊,特殊設施,垃圾場或掩埋場,臺中市清水區忠勇路100號,臺中市清水區秀水里19鄰忠勇路72號,205018.228,2685154.776,TGOS
霧峰區清潔隊,特殊設施,垃圾場或掩埋場,臺中市霧峰區福新路271號,臺中市霧峰區南柳里9鄰福新路271號,217955.597,2660745.93,TGOS
東勢區清潔隊,特殊設施,垃圾場或掩埋場,臺中市東勢區豐勢路815號,臺中市東勢區豐勢路815號,232072.0509,2684089.357,Google
隆賀回收站,特殊設施,垃圾場或掩埋場,臺中市西屯區市政南一路188號,臺中市西屯區市政南一路188號,212716.5024,2672692.568,Google
梧棲區清潔隊,特殊設施,垃圾場或掩埋場,臺中市梧棲區臨港路三段1號,臺中市梧棲區草湳里13鄰臨港路三段1號,200597.489,2680660.399,TGOS
日福環保有限公司,特殊設施,垃圾場或掩埋場,臺中市潭子區豐興路一段463巷1弄24之1號,臺中市潭子區聚興里19鄰豐興路一段463巷1弄1號,221746.307,2677337.526,TGOS
后里區清潔隊,特殊設施,垃圾場或掩埋場,臺中市后里區甲后路一段958號,臺中市后里區厚里里5鄰甲后路一段958號,221051.682,2689413.956,TGOS
大甲區清潔隊,特殊設施,垃圾場或掩埋場,臺中市大甲區甲東路500號,臺中市大甲區中山里18鄰甲東路500號,212677.95,2692816.299,TGOS
潭子區清潔隊,特殊設施,垃圾場或掩埋場,臺中市潭子區潭興路一段331巷25號,臺中市潭子區聚興里1鄰潭興路一段331巷25號,221076.545,2676897.271,TGOS
新社區清潔隊,特殊設施,垃圾場或掩埋場,臺中市新社區興社街二段20之7號,臺中市新社區復盛里4鄰興社街二段20之7號,230786.28,2680074.509,TGOS
沙鹿區清潔隊,特殊設施,垃圾場或掩埋場,臺中市沙鹿區鎮南路二段470號,臺中市沙鹿區北勢里25鄰鎮南路二段470號,205922.253,2680774.541,TGOS
石岡區清潔隊,特殊設施,垃圾場或掩埋場,臺中市石岡區明德路20號,臺中市石岡區九房里1鄰明德路20號,227727.992,2685444.879,TGOS
健發廢棄物清運公司,特殊設施,垃圾場或掩埋場,臺中市北屯區經補路169號,臺中市北屯區和平里19鄰經補路169號,222895.396,2674832.293,TGOS
大安區清潔隊,特殊設施,垃圾場或掩埋場,臺中市大安區南安路480號,臺中市大安區南埔里10鄰南安路480號,205555.484,2692654,TGOS
外埔區清潔隊,特殊設施,垃圾場或掩埋場,臺中市外埔區廍子路113號,臺中市外埔區廍子路113號,216028.3025,2694789.836,Google
和平區清潔隊,特殊設施,垃圾場或掩埋場,臺中市和平區東關路三段270號,臺中市和平區南勢里14鄰東關路三段270號,236754.606,2673768.205,TGOS
中西區清潔隊,特殊設施,垃圾場或掩埋場,臺中市南區復興路一段59號,臺中市南區樹義里36鄰復興路一段59號,214136.317,2667344.551,TGOS
北區清潔隊,特殊設施,垃圾場或掩埋場,臺中市北屯區中平路987號,臺中市北屯區中平路987號,215563.196,2675879.43,Google
東南區清潔隊,特殊設施,垃圾場或掩埋場,臺中市南區復興路一段59號,臺中市南區樹義里36鄰復興路一段59號,214136.317,2667344.551,TGOS
南屯區清潔隊,特殊設施,垃圾場或掩埋場,臺中市南屯區永春東路1號,臺中市南屯區大興里19鄰永春東路1號,214838.276,2669932.217,TGOS
榮輔企業股份有限公司,特殊設施,垃圾場或掩埋場,臺中市南屯區大墩四街400巷20號,臺中市南屯區田心里3鄰大墩四街400巷20號,213846.749,2670793.324,TGOS
神岡區清潔隊,特殊設施,垃圾場或掩埋場,臺中市神岡區神圳路2之1號,臺中市神岡區神岡里2鄰神圳路2之1號,215599.125,2683652.651,TGOS
大肚區清潔隊,特殊設施,垃圾場或掩埋場,臺中市大肚區華山路388號,臺中市大肚區頂街里12鄰華山路388號,204529,2672654.995,TGOS
大安區清潔隊,特殊設施,垃圾場或掩埋場,臺中市大安區南埔里南安路480號,臺中市大安區南埔里10鄰南安路480號,205555.484,2692654,TGOS
