名稱,分類,次分類,定位地址,回報地址,X坐標,Y座標,來源
清水區-建設局-公68停車場,公共建設,停車場地,,,203967.3216,2688281.91,Open data
北屯區-臺鐵-松竹火車站附設停車場,公共建設,停車場地,,,219682.2043,2674808.551,Open data
豐原區-臺鐵-豐原火車站附設停車場,公共建設,停車場地,,,222035.9566,2683381.435,Open data
潭子區-臺鐵-潭子火車站附設停車場,公共建設,停車場地,,,220116.6535,2678476.826,Open data
潭子區-臺鐵-頭家厝火車站附設停車場,公共建設,停車場地,,,219919.9407,2676721.829,Open data
潭子區-臺鐵-栗林火車站附設停車場,公共建設,停車場地,,,220619.8113,2681100.593,Open data
東區-臺鐵-精武車站附設停車場,公共建設,停車場地,,,219289.5104,2671749.342,Open data
南區-臺鐵-五權車站附設停車場,公共建設,停車場地,,,215848.5433,2669220.984,Open data
南區-臺鐵-大慶車站附設停車場,公共建設,停車場地,,,214189.2892,2668234.944,Open data
后里區-臺鐵-后里車站建築物附設停車場,公共建設,停車場地,,,222879.9374,2689298.404,Open data
中區-臺鐵-臺中車站建築物附設停車場,公共建設,停車場地,,,218097.3806,2670354.288,Open data
東區-民營-Times台中精武路停車場,公共建設,停車場地,,,219136.0781,2671290.058,Open data
北屯區-民營-美福停車場,公共建設,停車場地,,,218257.9336,2673985.456,Open data
西屯區-民營-J Mall停車場,公共建設,停車場地,,,210915.5941,2675430.233,Open data
東勢區-民營-巨鼎停車場,公共建設,停車場地,,,232556.6182,2684271.622,Open data
西屯區-民營-順天環匯停車場,公共建設,停車場地,,,213015.4979,2674204.125,Open data
南區-民營-新大慶停車場,公共建設,停車場地,,,215234.9521,2667689.676,Open data
北屯區-民營-車聚停車場,公共建設,停車場地,,,220556.6312,2675121.246,Open data
西屯區-民營-星安停車場,公共建設,停車場地,,,213901.9933,2675193.076,Open data
北屯區-民營-景和停車場,公共建設,停車場地,,,220939.1325,2673370.593,Open data
北屯區-民營-Times台中九龍東街停車場,公共建設,停車場地,,,219150.7941,2673389.865,Open data
北屯區-民營-台灣聯通台中崇美停車場,公共建設,停車場地,,,218201.3974,2675964.71,Open data
南屯區-民營-永泰豐停車場,公共建設,停車場地,,,212639.8127,2670434.012,Open data
豐原區-民營-Times台中豐原向陽博愛停車場,公共建設,停車場地,,,221750.7758,2682946.745,Open data
烏日區-民營-助安168台中高鐵停車場,公共建設,停車場地,,,211006.9626,2667986.352,Open data
豐原區-衛福-衛生福利部豐原醫院附設停車場,公共建設,停車場地,,,222083.9922,2681993.617,Open data
西屯區-中科-中科台中園區停9停車場,公共建設,停車場地,,,211147.1591,2678371.183,Open data
