名稱,分類,次分類,類型,定位地址,回報地址,X坐標,Y座標,定位來源
兒173公園,公共建設,公園,里鄰公園,永興四巷與高工南路口,,215654.1858,2667400.265,Opendata
和平公園,公共建設,公園,里鄰公園,復興路2段15巷,,215205.5016,2668242.948,Opendata
國光公園,公共建設,公園,里鄰公園,近瑞豐街38巷與瑞豐街口後方(南門市場),,217830.0011,2669148.26,Opendata
兒91公園,公共建設,公園,里鄰公園,東興路一段與復興北路口,,215053.4509,2668374.339,Opendata
南平公園,公共建設,公園,里鄰公園,福新街與和昌街口,,216345.3488,2668866.839,Opendata
樹義公園,公共建設,公園,里鄰公園,福田三街與大慶街一段257-3巷,,214914.8489,2667402.176,Opendata
樹仔腳公園,公共建設,公園,里鄰公園,復興北路與德富路,,214815.8707,2668281.007,Opendata
積善公園,公共建設,公園,里鄰公園,大明路與五權南路,,216660.3786,2667837.557,Opendata
復新公園,公共建設,公園,里鄰公園,綠川與復新街(包含綠川旁行人道),,217048.1085,2668860.766,Opendata
土庫公園,公共建設,公園,里鄰公園,忠明南路與五權五街口,,215211.186,2670154.386,Opendata
光明公園,公共建設,公園,里鄰公園,大忠南街與忠明南路20巷口,,214999.2823,2670446.845,Opendata
市民廣場,公共建設,公園,里鄰公園,公益路與中興街口,,215818.7416,2671668.101,Opendata
東興公園,公共建設,公園,里鄰公園,東興路三段與大業路口,,214810.5409,2672170.49,Opendata
萬壽公園,公共建設,公園,里鄰公園,大墩路與向上南路ㄧ段口,,214499.4863,2671155.783,Opendata
上公館公園,公共建設,公園,里鄰公園,柳川西路ㄧ段與五權五街口,,216067.2857,2670120.091,Opendata
大忠公園,公共建設,公園,里鄰公園,精誠30街與大忠街口,,215076.1727,2670966.522,Opendata
公益公園,公共建設,公園,里鄰公園,忠明南路與公益路口,,215229.169,2671732.879,Opendata
民龍公園,公共建設,公園,里鄰公園,博館一街與民權路附近,,216430.6705,2671945.294,Opendata
美村公園,公共建設,公園,里鄰公園,美村路一段與五權西四街13巷口,,215639.936,2670427.564,Opendata
忠明公園,公共建設,公園,里鄰公園,華美街與忠誠街口,,215449.1626,2672141.569,Opendata
忠誠公園,公共建設,公園,里鄰公園,忠明路與華美街口,,215729.0524,2672868.418,Opendata
五福公園,公共建設,公園,里鄰公園,忠明南路與福人街口,,215151.5854,2670967.777,Opendata
茄苳公園,公共建設,公園,里鄰公園,臺灣大道一段.梅川東路一段,,216610.8296,2671504.191,Opendata
公館公園,公共建設,公園,里鄰公園,自由路一段與三民路ㄧ段口,,216443.3265,2669726.367,Opendata
樂群公園,公共建設,公園,里鄰公園,東興路二段與大新街口,,216177.0937,2670008.968,Opendata
藍興公園,公共建設,公園,里鄰公園,樂群街與大新街口,,216278.2002,2669913.704,Opendata
綠17,公共建設,公園,里鄰公園,中美街與存中街口,,215396.4362,2670726.628,Opendata
綠18,公共建設,公園,里鄰公園,忠明南路與存中街口,,215098.4532,2670727.356,Opendata
建國北路旁綠帶,公共建設,公園,里鄰公園,民權路與康樂街,,217034.3865,2669739.273,Opendata
綠川,公共建設,公園,里鄰公園,民權路~建國路,,217684.0117,2670210.137,Opendata
麻園頭溪,公共建設,公園,里鄰公園,西屯路-南屯路,,215737.3861,2673037.626,Opendata
柳川,公共建設,公園,里鄰公園,中華路-美村路,,215686.2263,2669645.55,Opendata
麻園頭兒童公園,公共建設,公園,里鄰公園,大忠南街與五權五街口,,214976.9378,2670205.019,Opendata
大益公園,公共建設,公園,里鄰公園,東興路三段與大墩11街口,,214710.8606,2671519.075,Opendata
自立公園,公共建設,公園,里鄰公園,柳川西路二段與自立街口,,216568.4118,2670621.826,Opendata
忠勤公園,公共建設,公園,里鄰公園,忠勤街與忠仁街163巷口,,216420.6441,2670839.8,Opendata
中美公園,公共建設,公園,里鄰公園,中美街與長春街口,,215510.4527,2672104.651,Opendata
東昇公園,公共建設,公園,里鄰公園,大全街 朝陽街口,,216539.5415,2670013.428,Opendata
專3-2綠地,公共建設,公園,里鄰公園,三民路一段及民生路口,,217102.4667,2670435.518,Opendata
梅川河岸公園,公共建設,公園,里鄰公園,梅川東路一段與梅川西路ㄧ段間,,216565.1392,2671435.301,Opendata
英才公園,公共建設,公園,里鄰公園,民權路英才路口,,216590.9176,2672199.645,Opendata
英士公園,公共建設,公園,里鄰公園,英士路與文化街口,,217059.2393,2671870.508,Opendata
長青公園,公共建設,公園,里鄰公園,北平路1段與北平2街口(東),,216464.9653,2674120.48,Opendata
中德公園,公共建設,公園,里鄰公園,太原南2街與忠明6街口,,216302.641,2673195.979,Opendata
中正公園,公共建設,公園,里鄰公園,學士路與英才路口,,217768.8651,2672403.921,Opendata
稅務新村,公共建設,公園,里鄰公園,北興街與柳陽東街口,,218325.909,2673255.343,Opendata
臺中公園,公共建設,公園,里鄰公園,公園路與精武路口,,217917.371,2671069.147,Opendata
崇德榕園,公共建設,公園,里鄰公園,太原路三路與柳楊西街口,,218318.6731,2673382.612,Opendata
細兒193,公共建設,公園,里鄰公園,太平路.光大街,,217349.4478,2671813.91,Opendata
中清公園,公共建設,公園,里鄰公園,北平路1段與北平2街口(西),,216381.2919,2674099.192,Opendata
尚德公園,公共建設,公園,里鄰公園,尚德街與大德街91巷口,,217220.646,2672632.768,Opendata
太原公園,公共建設,公園,里鄰公園,太原北路與太原5街、6街,,216487.8602,2673401.649,Opendata
文英兒童公園,公共建設,公園,里鄰公園,近興進路與三民路口,,218429.7322,2672373.755,Opendata
金華公園,公共建設,公園,里鄰公園,興進路與雙十路2段38巷,,218645.1995,2672250.566,Opendata
武昌公園,公共建設,公園,里鄰公園,陜西路與武昌路口,,216266.738,2673781.717,Opendata
曉明公園,公共建設,公園,里鄰公園,漢陽西街與陜西東4街口,,216561.9955,2673686.328,Opendata
賴明公園,公共建設,公園,里鄰公園,梅川東路與漢口路口,,217364.4966,2673589.328,Opendata
山西公園,公共建設,公園,里鄰公園,北平路與山西路口,,217081.7382,2673995.44,Opendata
梅川公園,公共建設,公園,里鄰公園,梅川西路四段與天津路二段口,,217376.7104,2673908.263,Opendata
育強公園,公共建設,公園,里鄰公園,育強街與育強街78巷口,,218804.0947,2672695.99,Opendata
錦祥公園,公共建設,公園,里鄰公園,育樂街與育祥街口,,218829.0508,2672491.378,Opendata
進化廣場,公共建設,公園,里鄰公園,興進路與進化路口,,218869.3428,2672236.009,Opendata
英士路綠地,公共建設,公園,里鄰公園,英士路(英士路與英才路),,216996.0117,2672169.572,Opendata
天津路綠地,公共建設,公園,里鄰公園,陝西東五街與天津路口,,216575.2468,2673963.507,Opendata
細公2,公共建設,公園,里鄰公園,經貿陸與敦化路二段,,215186.034,2675573.848,Opendata
公116-公119,公共建設,公園,里鄰公園,玉門路-國安二路附近,,210403.2665,2676609.393,Opendata
文修公園,公共建設,公園,里鄰公園,漢翔路-烈美街口,,213624.3637,2675408.642,Opendata
逢甲公園,公共建設,公園,里鄰公園,逢甲路-逢明街旁,,213476.6616,2674666.208,Opendata
公136,公共建設,公園,里鄰公園,環中路二段與經貿九路,,213476.296,2676065.56,Opendata
西大墩公園,公共建設,公園,里鄰公園,環中路與福科路,,212973.1233,2674787.566,Opendata
細公1,公共建設,公園,里鄰公園,經貿五路與廣福路,,213955.9083,2676220.606,Opendata
華美公園,公共建設,公園,里鄰公園,太原路與華美西街2段口,,215872.701,2673318.72,Opendata
三信公園,公共建設,公園,里鄰公園,漢口路與河南路口,,215772.8098,2673527.616,Opendata
公99,公共建設,公園,里鄰公園,安和路-安和二街口,,211598.9744,2674537.59,Opendata
福星公園,公共建設,公園,里鄰公園,福星路-弘孝路旁,,214338.6858,2674146.144,Opendata
公1-2,公共建設,公園,里鄰公園,市政北二路-府會二街,,213901.0087,2672844.365,Opendata
公1-3,公共建設,公園,里鄰公園,市政北一路-市政路,,213815.0594,2672492.172,Opendata
公2-1/市政公園,公共建設,公園,里鄰公園,文心路二段-市政北五路,,214087.487,2672728.047,Opendata
公2-2,公共建設,公園,里鄰公園,市政北五路-府會二街,,213999.0406,2672792.95,Opendata
夏綠地公園,公共建設,公園,里鄰公園,惠來路二段-市政北五路,,213686.9305,2672975.044,Opendata
惠來公園,公共建設,公園,里鄰公園,惠中路二段-市政南二路,,213374.1482,2672261.497,Opendata
中央公園,公共建設,公園,里鄰公園,河南路二段 經貿路一段,,214774.6283,2675886.297,Opendata
公137,公共建設,公園,里鄰公園,環中路與廣福路,,214078.2475,2676670.946,Opendata
港興公園,公共建設,公園,里鄰公園,環中路二段與中平北路口,,214861.5849,2677032.475,Opendata
廣昌公園,公共建設,公園,里鄰公園,中清路二段與經貿十街對面,,215184.2881,2677058.26,Opendata
公89,公共建設,公園,里鄰公園,中港路-福元街口,,212133.2399,2674928.551,Opendata
福安公園,公共建設,公園,里鄰公園,西屯路-福裕路口,,212150.977,2675179.357,Opendata
公127/協仁公園,公共建設,公園,里鄰公園,朝馬路-協仁街口,,211976.037,2674463.812,Opendata
公99-1/協和公園,公共建設,公園,里鄰公園,朝馬路-玉寶路口,,211337.9664,2674580.715,Opendata
世貿公園,公共建設,公園,里鄰公園,台中世貿中心前(中工二路-天保街),,211048.3043,2674808.105,Opendata
福林公園,公共建設,公園,里鄰公園,福順路462巷-福順路口(福安北巷.福科路557巷2弄間),,210960.2728,2675606.095,Opendata
世斌公園,公共建設,公園,里鄰公園,永福路-福順路旁,,211390.8154,2675259.261,Opendata
福瑞社區公園,公共建設,公園,里鄰公園,東大路一段.福科路口(北),,209900.297,2675891.577,Opendata
五龍公園,公共建設,公園,里鄰公園,東大路-福科路口,,209850.653,2675976.332,Opendata
福聯兒童公園,公共建設,公園,里鄰公園,東大路一段.福科路口(南),,209874.1166,2675794.742,Opendata
秋紅谷公園,公共建設,公園,里鄰公園,臺灣大道三段、河南路三段、市政北七路、朝富路,,213410.8741,2673620.437,Opendata
潮洋環保公園,公共建設,公園,里鄰公園,環河路-朝貴路口,,212679.9503,2673492.092,Opendata
公兼兒(細6),公共建設,公園,里鄰公園,龍富22街與龍德路二段口,,212117.2921,2672527.159,Opendata
公兼兒(細1),公共建設,公園,里鄰公園,龍瑞街110號旁,,212408.4767,2672505.676,Opendata
石碑溪,公共建設,公園,里鄰公園,全段(河岸兩側及含對面人行道之行道樹),,214468.7953,2674166.861,Opendata
綠24,公共建設,公園,里鄰公園,青海路與黎明路口,,213185.3785,2674515.34,Opendata
中仁公園,公共建設,公園,里鄰公園,寧夏西七街-大信街口,,215541.5288,2673396.712,Opendata
中工公園,公共建設,公園,里鄰公園,工業區38路83巷7弄,,208292.8557,2674509.693,Opendata
綠40,公共建設,公園,里鄰公園,(工業區內)順和一街79號至順和ㄧ街167號前已開闢部份,,208412.0214,2674573.027,Opendata
綠27,公共建設,公園,里鄰公園,中工三路與福中ㄧ街口,,211313.2659,2674950.141,Opendata
綠29,公共建設,公園,里鄰公園,天佑街兩側(中工三路至中工二路)、天佑街及中工二路口綠地、中工二路與福中五街口綠地、福安二街三巷底綠地、中工二路15巷7-1號後方,,211038.0878,2674972.932,Opendata
綠30,公共建設,公園,里鄰公園,天佑街旁(中工二路至工業ㄧ路)、工業ㄧ路旁(天佑街至工業ㄧ路10號前)，含福中二街旁及福中ㄧ街旁,,210879.326,2674988.32,Opendata
綠31,公共建設,公園,里鄰公園,天助街旁(中工二路至工業ㄧ路)、工業ㄧ路旁(天助街至天佑街)、天佑街旁(工業ㄧ路至中工二路),,210841.6339,2674731.036,Opendata
綠32,公共建設,公園,里鄰公園,工業ㄧ路旁(水尾巷至天助街)、天助街旁(工業ㄧ路至中工二路),,210796.9447,2674405.437,Opendata
細綠2,公共建設,公園,里鄰公園,中工三路與中工三路153巷口,,211256.5273,2674710.185,Opendata
福和里綠地,公共建設,公園,里鄰公園,台灣大道四段671巷1弄50之9號前及74號旁,,211371.7922,2674764.472,Opendata
綠76,公共建設,公園,里鄰公園,臺灣大道四段671巷底順安段712地號中工三路153巷口.玉成路,,211308.4906,2674726.213,Opendata
虹陽橋綠地,公共建設,公園,里鄰公園,虹陽橋分隔島及橋下,,212089.6378,2674427.846,Opendata
工業一路口西側綠地,公共建設,公園,里鄰公園,工業一路口加油站圍牆旁綠地及停車場前花台,,210883.5601,2675308.493,Opendata
工業一路口東側綠地,公共建設,公園,里鄰公園,工業一路口東側,,210937.8648,2675289.848,Opendata
潮洋溪,公共建設,公園,里鄰公園,全段(河岸兩側含足球場旁及對面人行道之行道樹),,212555.8009,2673461.519,Opendata
黎明3號綠地,公共建設,公園,里鄰公園,南屯區博愛街,,212755.0997,2672000.512,Opendata
上石公園,公共建設,公園,里鄰公園,西屯路二段上石里集會所前,,213901.319,2674207.497,Opendata
上安公園,公共建設,公園,里鄰公園,上安路-上仁街,,213478.2573,2673942.662,Opendata
文輝公園,公共建設,公園,里鄰公園,上明街-上明三街口,,213710.9714,2674033.658,Opendata
上德公園,公共建設,公園,里鄰公園,智惠街-上石路口,,213860.5774,2673808.894,Opendata
大石公園,公共建設,公園,里鄰公園,中平路北側順平一街,,215609.8777,2674683.812,Opendata
幸福兒童公園,公共建設,公園,里鄰公園,櫻城一街與弘孝路間,,214651.4001,2674173.383,Opendata
大福公園,公共建設,公園,里鄰公園,長安路-中清西二街旁,,216102.1199,2674501.994,Opendata
大鵬公園,公共建設,公園,里鄰公園,長安路-福上巷大豐20弄,,215752.0555,2674318.542,Opendata
永安公園,公共建設,公園,里鄰公園,永康街-西屯路三段148-19巷口,,211815.6714,2675699.793,Opendata
宏恩公園,公共建設,公園,里鄰公園,宏恩一巷35弄,,211158.5812,2676085.442,Opendata
國安兒1,公共建設,公園,里鄰公園,國安一路- 福林路,,210867.3684,2676217.04,Opendata
國安兒2,公共建設,公園,里鄰公園,西屯路三段近玉門路,,210560.5756,2676223.869,Opendata
至善公園,公共建設,公園,里鄰公園,至善路-逢甲路253巷旁,,213628.3453,2674463.365,Opendata
西安公園,公共建設,公園,里鄰公園,上安路-逢甲路口,,213257.6312,2674205.269,Opendata
西平公園,公共建設,公園,里鄰公園,烈美街-西屯路口,,213652.9052,2674849.493,Opendata
甘肅公園,公共建設,公園,里鄰公園,甘肅路與永昌1、2街間,,215140.2834,2673779.451,Opendata
長安公園,公共建設,公園,里鄰公園,長安路與美滿街口,,214893.6694,2673900.444,Opendata
青海公園,公共建設,公園,里鄰公園,四川東街與四川4街口,,214770.7559,2673257.835,Opendata
何德公園,公共建設,公園,里鄰公園,天水西六街底,,215204.6801,2673478.935,Opendata
洛陽公園,公共建設,公園,里鄰公園,洛陽路125巷近洛陽路,,214549.2562,2673672.929,Opendata
大仁公園,公共建設,公園,里鄰公園,甘肅路1段與成都路口,,215352.3546,2673408.579,Opendata
福壽兒童公園,公共建設,公園,里鄰公園,甘州街及甘州二街口,,215073.0222,2673243.578,Opendata
大容公園,公共建設,公園,里鄰公園,大墩17街與大容東一街口,,214280.4659,2672325.976,Opendata
大墩公園,公共建設,公園,里鄰公園,大墩路與大墩19街口,,214592.956,2672655.345,Opendata
大弘公園,公共建設,公園,里鄰公園,太原路一段與大弘六街口,,215569.0112,2673122.314,Opendata
大有公園,公共建設,公園,里鄰公園,太原路一段與大有二街,,215325.8603,2672794.305,Opendata
大安公園,公共建設,公園,里鄰公園,大安西街與大安街口,,214888.5953,2672544.747,Opendata
大聖公園,公共建設,公園,里鄰公園,大聖街與大安西街口,,214749.8588,2672657.06,Opendata
何厝公園,公共建設,公園,里鄰公園,四川路-何厝街口,,214932.2963,2672876.451,Opendata
成都公園,公共建設,公園,里鄰公園,成都路與漢城4街口,,215975.1245,2673784.738,Opendata
河南公園,公共建設,公園,里鄰公園,重慶路與內江街口,,215780.2145,2673986.663,Opendata
高登公園,公共建設,公園,里鄰公園,重慶394號旁,,216033.7428,2673992.921,Opendata
甘州公園,公共建設,公園,里鄰公園,甘州五街旁,,215234.7799,2673363.458,Opendata
重慶公園,公共建設,公園,里鄰公園,西屯路與重慶路口,,215020.9471,2673430.322,Opendata
惠中公園,公共建設,公園,里鄰公園,惠中路-文中路旁,,214103.2852,2673431.28,Opendata
惠民公園,公共建設,公園,里鄰公園,青海路二段120號旁,,214399.3433,2673617.706,Opendata
惠安公園,公共建設,公園,里鄰公園,朝富一街-朝馬二街,,213110.953,2673595.185,Opendata
惠順公園,公共建設,公園,里鄰公園,政和路-惠文一街,,213642.0128,2672297.801,Opendata
惠城公園,公共建設,公園,里鄰公園,市政南一路-惠文七街,,213192.8232,2672563.099,Opendata
福安兒童公園,公共建設,公園,里鄰公園,安和路-福安路55巷口,,211850.2916,2674971.726,Opendata
福恩兒童公園,公共建設,公園,里鄰公園,工業一路-工業一路72巷口,,210735.0217,2674646.715,Opendata
惠泰公園,公共建設,公園,里鄰公園,黎明路二段-市政北二路,,212902.4483,2673284.515,Opendata
朝貴公園,公共建設,公園,里鄰公園,朝貴一街-朝貴一街1巷,,212942.0087,2673959.887,Opendata
龍門公園,公共建設,公園,里鄰公園,龍門路-龍門二街,,212592.7015,2673274.14,Opendata
文華公園,公共建設,公園,里鄰公園,逢大路65號旁(大鵬新城內),,214279.5418,2674749.336,Opendata
張廖家廟廣場,公共建設,公園,里鄰公園,福星路-福星北路口,,213954.0341,2675281.656,Opendata
公7-1部分簡易綠美化,公共建設,公園,里鄰公園,永春東二路旁,,212553.9797,2668519.015,Opendata
(細)公兼兒1,公共建設,公園,里鄰公園,益昌六街往東約100公尺處,,212617.5424,2671087.283,Opendata
公兼兒15,公共建設,公園,里鄰公園,五權西路二段與文心南五路三段,,212538.1477,2671194.81,Opendata
正心公園,公共建設,公園,里鄰公園,大墩南路旁(大墩國宅),,214489.141,2670104.669,Opendata
下牛埔公園,公共建設,公園,里鄰公園,黎明路一段37巷,,211618.5585,2667630.178,Opendata
公兼兒(細5),公共建設,公園,里鄰公園,新富路與新富一街口,,212105.3526,2670332.647,Opendata
(細)公兼兒2,公共建設,公園,里鄰公園,永春路與益文二街,,212600.4062,2670676.662,Opendata
(細)公兼兒3,公共建設,公園,里鄰公園,益文一街19巷,,212760.8795,2670364.033,Opendata
(細)公兼兒4,公共建設,公園,里鄰公園,永春路與文心南五路二段,,212478.5558,2670717.96,Opendata
文心森林公園,公共建設,公園,里鄰公園,文心路一段與向上路二段口,,213928.8622,2671164.748,Opendata
向心兒童公園,公共建設,公園,里鄰公園,文心南二路消防隊旁,,213890.5982,2670102.519,Opendata
南屯公園,公共建設,公園,里鄰公園,惠中路三段與大墩七街口,,213419.8194,2670973.561,Opendata
細公1,公共建設,公園,里鄰公園,春安路與春安二街,,210274.9891,2669999.732,Opendata
望高寮夜景公園,公共建設,公園,里鄰公園,中台路上,,207262.8016,2671170.132,Opendata
黎新公園,公共建設,公園,里鄰公園,公益路與龍富路口,,211915.7096,2672045.041,Opendata
公兼兒(細3),公共建設,公園,里鄰公園,龍富十五路與新生南巷口,,211843.8838,2670953.776,Opendata
公兼兒(細8),公共建設,公園,里鄰公園,龍富路一段與龍富十八路口往南約50公尺處,,211826.6745,2671282.311,Opendata
公兼兒(細7),公共建設,公園,里鄰公園,黎明路二段與黎明路二段669巷口,,212179.2647,2671947.984,Opendata
南苑公園,公共建設,公園,里鄰公園,文心南路至文心南三、五路,,214168.0269,2669763.805,Opendata
豐富公園,公共建設,公園,里鄰公園,東興路與三民路,,214821.2743,2669522.622,Opendata
豐樂雕塑公園,公共建設,公園,里鄰公園,向心南路與文心南五路口,,213678.9152,2669554.728,Opendata
干城3號綠地,公共建設,公園,里鄰公園,"黎明國中小後方綠地,黎明段382地號",,212516.7296,2672400.62,Opendata
文山1號綠地,公共建設,公園,里鄰公園,文山一街與保安二街,,210602.4278,2670940.988,Opendata
精密機械科技創新園區公園(一期)(綠1),公共建設,公園,里鄰公園,向上路與精科5路交叉口旁,,208088.1041,2671607.586,Opendata
精密機械科技創新園區公園(一期)(綠2),公共建設,公園,里鄰公園,向上路與精科5路交叉口旁,,208533.1006,2671842.738,Opendata
精密機械科技創新園區公園(一期)(綠3),公共建設,公園,里鄰公園,精科八路旁,,208614.4011,2671982.714,Opendata
精密機械科技創新園區公園(一期)(綠7),公共建設,公園,里鄰公園,精科東路與文山三街交叉口旁,,208449.202,2671370.293,Opendata
綠35,公共建設,公園,里鄰公園,忠勇路近文山二街口,,210820.4977,2671077.718,Opendata
精密機械科技創新園區公園(一期)(綠4),公共建設,公園,里鄰公園,精科中路旁,,209090.568,2671543.756,Opendata
精密機械科技創新園區公園(一期)(綠5),公共建設,公園,里鄰公園,文山路旁,,208989.8038,2671631.54,Opendata
精密機械科技創新園區公園(一期)(綠6),公共建設,公園,里鄰公園,精科北路旁,,208761.9118,2671545.59,Opendata
細綠34,公共建設,公園,里鄰公園,干城街116巷4弄,,212452.4334,2672450.295,Opendata
黎明1號綠地,公共建設,公園,里鄰公園,博愛街與博愛街80巷以北,,212544.9221,2672108.382,Opendata
黎明2號綠地,公共建設,公園,里鄰公園,博愛街80巷以南,,212589.0055,2671984.557,Opendata
細綠3,公共建設,公園,里鄰公園,近龍富二路旁,,213712.1329,2668469.836,Opendata
三采公園,公共建設,公園,里鄰公園,永春東七路與大墩十二街,,212774.2019,2671688.586,Opendata
惠智公園,公共建設,公園,里鄰公園,大富街與大墩十一街口,,213311.713,2671575.995,Opendata
三義公園,公共建設,公園,里鄰公園,河南路4段,,213015.6364,2672460.006,Opendata
大業公園,公共建設,公園,里鄰公園,大業路與大進街口,,214552.3644,2672106.673,Opendata
大進公園,公共建設,公園,里鄰公園,東興路與大墩二街口,,214700.5316,2670427.315,Opendata
文山公園,公共建設,公園,里鄰公園,文山九街旁,,210779.8078,2671690.952,Opendata
保安公園,公共建設,公園,里鄰公園,嶺東路旁,,210550.6807,2671338.287,Opendata
文昌公園,公共建設,公園,里鄰公園,文昌街旁,,212988.5486,2670366.762,Opendata
田心公園,公共建設,公園,里鄰公園,田心北三巷,,213686.1468,2670557.119,Opendata
禮惠公園,公共建設,公園,里鄰公園,大墩六街與大墩六街319巷口,,213845.0302,2670849.32,Opendata
犁頭店公園,公共建設,公園,里鄰公園,惠中路與大墩四街,,213445.2901,2670839.819,Opendata
彩虹藝術公園,公共建設,公園,里鄰公園,嶺東南路與彩虹巷,,210359.0728,2669900.708,Opendata
兒147,公共建設,公園,里鄰公園,嶺東南路/彩虹藝術公園對面,,210408.9196,2669916.517,Opendata
春社公園,公共建設,公園,里鄰公園,嶺東路與永春北路口,,210468.1055,2670660.383,Opendata
惠義公園,公共建設,公園,里鄰公園,大正街與大墩十二街口,,213941.7478,2671637.735,Opendata
楓安公園,公共建設,公園,里鄰公園,南屯溪與楓樂巷口,,212480.3902,2668057.044,Opendata
楓香公園,公共建設,公園,里鄰公園,楓樹西街與楓樹南街口,,212288.4063,2667916.786,Opendata
楓樹公園,公共建設,公園,里鄰公園,南屯溪與楓樂巷口,,212495.7837,2668575.984,Opendata
水安公園,公共建設,公園,里鄰公園,文心路一段與水安街口,,214060.5818,2672013.214,Opendata
惠德兒童公園,公共建設,公園,里鄰公園,惠德街與田心北三巷1弄口,,213499.0336,2670634.016,Opendata
福德公園,公共建設,公園,里鄰公園,懷德街與干城街202巷口,,212265.8272,2671978.433,Opendata
黎光公園,公共建設,公園,里鄰公園,懷德街與干城街口,,212470.4049,2671866.586,Opendata
黎明公園,公共建設,公園,里鄰公園,懷德街與干城街口,,212364.8673,2672231.238,Opendata
鎮平公園,公共建設,公園,里鄰公園,鎮平國小對面,,212326.3776,2668475.979,Opendata
細兒28,公共建設,公園,里鄰公園,干城街280巷1.2弄間,,212603.0263,2671905.997,Opendata
大興公園,公共建設,公園,里鄰公園,南屯路與精誠路,,214844.2035,2670041.102,Opendata
鎮安公園,公共建設,公園,里鄰公園,懷德街與干城街口,,212380.5461,2672319.133,Opendata
懷德公園,公共建設,公園,里鄰公園,干城街115巷,,212473.7925,2672187.757,Opendata
望高寮景觀設施,公共建設,公園,里鄰公園,中台路上,,206932.6135,2671374.137,Opendata
仁德公園,公共建設,公園,里鄰公園,崇德10路2段310巷100號對面,,217347.606,2676276.862,Opendata
四張犁公園,公共建設,公園,里鄰公園,豐樂路與四平路口,,217627.298,2676682.016,Opendata
昌和公園,公共建設,公園,里鄰公園,松竹路二段與昌平路二段口,,218244.71,2675252.37,Opendata
仁美公園,公共建設,公園,里鄰公園,崇德路與崇德12路口,,218085.6579,2676089.787,Opendata
潮春公園,公共建設,公園,里鄰公園,豐樂路17巷18弄,,218393.5659,2676628.126,Opendata
三甲公園,公共建設,公園,里鄰公園,旱溪東路三段與景賢路口,,220223.453,2673505.196,Opendata
水景玫瑰公園,公共建設,公園,里鄰公園,旱溪東路三段與東山路一段147巷41弄口及水景街與東山路一段147巷口,,220409.248,2674163.555,Opendata
景中公園,公共建設,公園,里鄰公園,近和順路與和順三街口(景福段37地號),,221908.2016,2673726.592,Opendata
景福公園,公共建設,公園,里鄰公園,景賢二路與軍福十一路,,221223.3636,2674084.026,Opendata
景賢公園,公共建設,公園,里鄰公園,景賢路與景賢六路口,,220798.5317,2673633.028,Opendata
細公2-3,公共建設,公園,里鄰公園,長生巷4-17號對面,,217992.9465,2676830.259,Opendata
細公2-4,公共建設,公園,里鄰公園,昌平路2段156巷35號,,217841.5036,2676841.233,Opendata
北屯兒童公園,公共建設,公園,里鄰公園,北平路與興安路口,,218990.2272,2673753.81,Opendata
民俗公園,公共建設,公園,里鄰公園,熱河路與旅順路口,,218227.7551,2674439.714,Opendata
細體1,公共建設,公園,里鄰公園,更生巷45弄與新興路191巷口,,215939.2745,2677098.294,Opendata
敦化公園,公共建設,公園,里鄰公園,敦化路與陳平一街,,216114.399,2675859.115,Opendata
地震公園,公共建設,公園,里鄰公園,東山路一段389號,,223010.7825,2674804.277,Opendata
新都生態公園,公共建設,公園,里鄰公園,松竹路一段與軍福15路口,,222411.8072,2674264.52,Opendata
三分埔公園,公共建設,公園,里鄰公園,河北路(崇德5路與崇德6路),,217974.2133,2674964.359,Opendata
八二三公園,公共建設,公園,里鄰公園,昌平東二路(崇德9路與崇德10路),,218365.4773,2675830.224,Opendata
軍功公園,公共建設,公園,里鄰公園,松竹路一段與軍功路二段交叉口,,221651.0228,2675150.917,Opendata
軍福公園,公共建設,公園,里鄰公園,軍榮五街與軍福十九路,,221050.8566,2674943.029,Opendata
公50,公共建設,公園,里鄰公園,經貿路與經貿一路口,,215322.7544,2675353.561,Opendata
老樹公園,公共建設,公園,里鄰公園,順平路與經貿一路口,,215705.5615,2675220.062,Opendata
新平公園,公共建設,公園,里鄰公園,中平路與敦化路2段口,,215635.5136,2675705.324,Opendata
中台公園,公共建設,公園,里鄰公園,?子路靠近中台科大,,222932.6855,2674075.574,Opendata
昌盛公園,公共建設,公園,里鄰公園,太和路二段與太和二街口,,222120.1127,2673184.382,Opendata
博愛公園,公共建設,公園,里鄰公園,?子路與景賢路口,,222862.3718,2673382.63,Opendata
廍興公園,公共建設,公園,里鄰公園,建和路與太順路口,,221595.3455,2672760.137,Opendata
河堤公園,公共建設,公園,里鄰公園,祥順東路二段底靠近中台科大,,222936.3706,2674356.764,Opendata
旱西天闊公園,公共建設,公園,里鄰公園,旱溪西路三段與旱溪西路三段258巷口,,220323.4748,2674301.397,Opendata
南興公園,公共建設,公園,里鄰公園,軍福十九路.舊社巷旁,,220292.0951,2674892.653,Opendata
舊社公園,公共建設,公園,里鄰公園,北屯路與松竹路口,,219559.626,2675119.138,Opendata
仁和幸福兒童公園,公共建設,公園,里鄰公園,山西路及崇德八路交叉口,,217384.7541,2675730.771,Opendata
仁和福德公園,公共建設,公園,里鄰公園,細園道旁,,217341.5315,2675225.29,Opendata
水湳生態公園,公共建設,公園,里鄰公園,崇德六路與安順東二街口,,217343.2173,2674941.983,Opendata
二分埔公園,公共建設,公園,里鄰公園,10M-55道路旁,,217276.1589,2674720.745,Opendata
