名稱,分類,次分類,類型,定位地址,回報地址,X坐標,Y座標,定位來源
大坑國民小學,公共建設,學校,國小,臺中市北屯區東山路二段112號,臺中市北屯區大坑里8鄰東山路二段112號,224418.378,2676749.626,TGOS
東海國民小學,公共建設,學校,國小,臺中市西屯區福聯里國際街75號,臺中市西屯區福聯里7鄰國際街75號,208747.394,2675576.035,TGOS
西屯國民小學,公共建設,學校,國小,臺中市西屯區西屯路二段300號,臺中市西屯區西安里3鄰西屯路二段300號,213493.674,2674953.835,TGOS
永安國民小學,公共建設,學校,國小,臺中市西屯區西屯路三段133號,臺中市西屯區西屯路三段133號,211908.0165,2675564.774,Google
上安國民小學,公共建設,學校,國小,臺中市西屯區上安路156號,臺中市西屯區至善里16鄰上安路156號,213334.465,2674175.688,TGOS
何厝國民小學,公共建設,學校,國小,臺中市西屯區重慶路1號,臺中市西屯區何安里2鄰重慶路1號,214833.245,2673179.828,TGOS
泰安國民小學,公共建設,學校,國小,臺中市西屯區環中路二段368號,臺中市西屯區港尾里11鄰環中路二段368號,214319.636,2676957.058,TGOS
大鵬國民小學,公共建設,學校,國小,臺中市西屯區中平路268號,臺中市西屯區大鵬里1鄰中平路268號,216050.731,2674667.273,TGOS
大仁國民小學,公共建設,學校,國小,臺中市西屯區重慶路200號,臺中市西屯區何德里15鄰重慶路200號,215267.714,2673633.595,TGOS
協和國民小學,公共建設,學校,國小,臺中市西屯區安和路99號,臺中市西屯區協和里2鄰安和路99號,211344.065,2673942.844,TGOS
長安國民小學,公共建設,學校,國小,臺中市西屯區櫻花路18號,臺中市西屯區何仁里25鄰櫻花路18號,214756.087,2673827.646,TGOS
惠來國民小學,公共建設,學校,國小,臺中市西屯區文中路168號,臺中市西屯區惠來里28鄰文中路168號,214329.976,2673328.58,TGOS
重慶國民小學,公共建設,學校,國小,臺中市西屯區重慶路358號,臺中市西屯區何源里30鄰重慶路358號,215837.352,2673940.413,TGOS
國安國民小學,公共建設,學校,國小,臺中市西屯區永安里國祥街1號,臺中市西屯區永安里34鄰國祥街1號,210265.698,2676531.578,TGOS
上石國民小學,公共建設,學校,國小,臺中市西屯區西屯路二段上石南六巷25號,臺中市西屯區上石里8鄰西屯路二段上石南六巷25號,213801.647,2674255.308,TGOS
東興國民小學,公共建設,學校,國小,臺中市南屯區大隆路71號,臺中市南屯區大業里1鄰大隆路71號,214747.812,2672337.833,TGOS
永春國民小學,公共建設,學校,國小,臺中市南屯區永春東路288號,臺中市南屯區向心里5鄰永春東路288號,214250.647,2670021.287,TGOS
大新國民小學,公共建設,學校,國小,臺中市南屯區文心路一段280號,臺中市南屯區文心里1鄰文心路一段280號,214123.467,2671222.143,TGOS
惠文國民小學,公共建設,學校,國小,臺中市南屯區公益路二段300號,臺中市南屯區三義里10鄰公益路二段300號,213245.496,2671925.231,TGOS
文山國民小學,公共建設,學校,國小,臺中市南屯區南屯區文山里忠勇路97號,臺中市南屯區南屯區文山里忠勇路97號,210909.3408,2671617.336,Google
南屯國民小學,公共建設,學校,國小,臺中市南屯區南屯區黎明路一段968號,臺中市南屯區南屯區黎明路一段968號,213135.6807,2670219.782,Google
