名稱,分類,次分類,定位地址,回報地址,X坐標,Y座標,來源
華南商業銀行沙鹿分行,工商活動,金融機構,臺中市沙鹿區沙田路112號,臺中市沙鹿區沙田路112號,205233.1274,2681134.248,Google
華南商業銀行東勢分行,工商活動,金融機構,臺中市東勢區三民街282號,臺中市東勢區廣興里12鄰三民街282號,232650.176,2683738.416,TGOS
華南商業銀行南台中分行,工商活動,金融機構,臺中市復興路四段53號,臺中市東區新庄里10鄰復興路四段53號,217909.176,2670037.577,TGOS
彰化商業銀行南台中分行,工商活動,金融機構,臺中市南區台中路102號,臺中市南區長春里24鄰臺中路102號,217812.747,2669777.219,TGOS
彰化商業銀行股份有限公司,工商活動,金融機構,臺中市中區公園里自由路二段38號,臺中市中區公園里2鄰自由路二段38號,217689.206,2670516.194,TGOS
上海商業儲蓄銀行豐原分行,工商活動,金融機構,臺中市豐原區三民路95號,臺中市豐原區豐榮里4鄰三民路95號,221540.747,2683122.700,TGOS
上海商業儲蓄銀行台中分行,工商活動,金融機構,臺中市中區三民路二段46號,臺中市中區大墩里6鄰三民路二段46號,217347.456,2670707.634,TGOS
上海商業儲蓄銀行市政分行,工商活動,金融機構,臺中市西屯區市政路406號,臺中市西屯區惠來里7鄰市政路406號,213360.651,2672700.799,TGOS
上海商業儲蓄銀行大里分行,工商活動,金融機構,臺中市大里區益民路二段127號,臺中市大里區長榮里14鄰益民路二段127號,218015.739,2666881.950,TGOS
台北富邦商業銀行國美分行,工商活動,金融機構,臺中市西區五權西路一段260號,臺中市西區大忠里5鄰五權西路一段260號,214970.709,2670598.234,TGOS
台北富邦商業銀行大里分行,工商活動,金融機構,臺中市大里區國光路二段188號,臺中市大里區國光里13鄰國光路二段188號,217632.534,2666607.449,TGOS
台北富邦商業銀行南台中分行,工商活動,金融機構,臺中市文心路一段272號,臺中市南屯區文心里12鄰文心路一段272號,214123.715,2671098.463,TGOS
台北富邦商業銀行市政分行,工商活動,金融機構,臺中市西屯區文心路二段107號,臺中市西屯區惠來里3鄰文心路二段107號,214097.035,2672653.424,TGOS
台北富邦商業銀行北台中分行,工商活動,金融機構,臺中市文心路四段333號,臺中市北屯區平和里16鄰文心路四段333號,217557.964,2674216.385,TGOS
