名稱,分類,次分類,污染類別,定位地址,回報地址,X坐標,Y座標,來源
宏駿營造有限公司,特殊設施,環境污染,一般廢棄物,臺中市北區錦村段357之69地號(地點:北區梅亭街90巷3弄對面),臺中市北區錦村段357之69地號,218199.069,2672834.329,NLSC
根基營造股份有限公司,特殊設施,環境污染,一般廢棄物,臺中市北屯區崇德路二段345巷25弄(北屯區松昌段612之2地號),臺中市北屯區平德里9鄰崇德路二段25號,217994.239,2673786.936,TGOS
達能科技股份有限公司,特殊設施,環境污染,一般廢棄物,臺中市梧棲區市鎮南段162之0000地號,臺中市梧棲區市鎮南段162之0000地號,202429.356,2684019.948,NLSC
三晰電工科技股份有限公司,特殊設施,環境污染,一般廢棄物,臺中市南屯區文心南七路12號附近,臺中市南屯區豐樂里33鄰文心南七路12號,214707.005,2669428.159,TGOS
大陸工程股份有限公司,特殊設施,環境污染,一般廢棄物,臺中市西區館前路57號前工地,臺中市西區民龍里6鄰館前路57號,215849.413,2672059.393,TGOS
合泰營造有限公司,特殊設施,環境污染,一般廢棄物,臺中市南屯區協和南巷3之3號附近,臺中市南屯區協和南巷3之3號,210562.886,2672892.949,Google
同祐工程行,特殊設施,環境污染,一般廢棄物,臺中市西屯區臺灣大道二段653號前,臺中市西屯區臺灣大道二段653號,215083.3521,2672618.146,Google
仁久環保企業有限公司,特殊設施,環境污染,一般廢棄物,臺中市大雅區自強段2374地號,臺中市大雅區自強段2374地號,214345.754,2681044.99,NLSC
上益機車行,特殊設施,環境污染,一般廢棄物,臺中市北屯區昌平路一段147號,臺中市北屯區平福里8鄰昌平路一段147號,218520.883,2674566.353,TGOS
瑞芳農產行,特殊設施,環境污染,一般廢棄物,臺中市東區樂業一路（泉源公園旁）,找不到指定的門牌地址。,,,Google
麵屋六花拉麵店,特殊設施,環境污染,一般廢棄物,臺中市北區學士路236巷2號,臺中市北區建興里28鄰學士路236巷2號,217612.597,2672856.188,TGOS
