x,y,名稱,位置資訊
120.363365,23.315974,昇峰鐵工廠,臺南市東山區聖賢里頂窩1號之9
120.23106,23.079036,廣億實業社安定廠,臺南市安定區大同里牛肉寮65之25號
120.188875,22.950036,正統意麵坊工廠,臺南市南區喜東里明興路321巷16之2號
120.27916,22.975325,萬環機械股份有限公司一廠,臺南市歸仁區七甲里南丁路73巷17號
120.232301,23.051472,高碳特殊鋼鐵股份有限公司長和廠,臺南市安南區東和里長和路1段217巷179弄9之2號
120.279219,22.99537,永富實業社,臺南市歸仁區大廟里大廟二街93巷15號
120.326093,23.082159,鋒美有限公司,臺南市新市區潭頂里潭頂323之98號
120.23151,22.973115,友嘉紙器有限公司,臺南市東區崇善里崇善七街66號
120.182472,22.94061,俞興服裝機械有限公司一廠,臺南市南區喜東里明興路619巷6號
120.26437,22.998038,均亮有限公司南興廠,臺南市永康區南灣里南興路48巷13號
120.229692,23.075767,威仁實業社,臺南市安定區大同里牛肉寮88號
120.214653,23.077224,浩誠金屬股份有限公司,臺南市安定區中沙里中崙1之15號
120.307985,23.097532,鴻新機械有限公司,臺南市新市區大營里326之26號
120.290355,23.025912,超茂國際有限公司,臺南市新化區全興里竹子腳165號
120.326297,23.078233,朝陽塑膠實業社,臺南市新市區潭頂里潭頂204之5號
120.253893,23.032771,恩澤企業社永康廠,臺南市永康區埔園里四維街58巷27號
120.2773,22.975587,吉盈織造有限公司歸仁廠,臺南市歸仁區七甲里11鄰南丁路73巷80號
120.230093,23.077144,承達實業社,臺南市安定區大同里牛肉寮65之24號
120.293404,23.156072,來金行,臺南市善化區六分里溪底寮20之2號
120.253664,23.013905,集舜興業有限公司永康廠,臺南市永康區網寮里大灣路942巷641弄102號
120.273922,22.919602,遠哲機電企業社武東二廠,臺南市歸仁區武東里中正南路2段157號
120.2646,22.940234,新富企業社二廠,臺南市仁德區上崙里德崙路539巷63號
120.300022,23.32714,泓成貿易有限公司,臺南市新營區護鎮里建國路313巷29號
120.277461,22.992384,燦宏企業社歸仁廠,臺南市歸仁區和順路二段220號
120.217311,23.096822,愷幸實業社,臺南市安定區海寮里海寮30之13號
120.289247,22.995733,永信塑膠皮實業社西埔二廠,臺南市歸仁區西埔里西埔三街51巷95號
120.351528,23.328429,易進機械工業有限公司工廠,臺南市後壁區福安里169之20號
120.213004,23.099876,添淑股份有限公司,臺南市安定區海寮里海寮174之1號
120.307079,23.091208,鏗特有限公司二廠,臺南市新市區大營里豐榮3之2號
120.380987,23.389358,通祥塑膠企業社,臺南市後壁區嘉田里上茄苳12之42、12之42附2、12之43號
120.288166,23.329644,承泉實業有限公司鹽水廠,臺南市鹽水區汫水里溪洲寮2之17號
120.239338,23.098842,宿泰有限公司安定廠,臺南市安定區港口里港口421號
120.294526,23.028746,鋼鑫工程有限公司,臺南市新化區全興里竹子腳187之6號
120.278803,22.977174,永正成工程行,臺南市歸仁區七甲里丁厝街29號
120.288959,23.065197,宏瑞制程工業股份有限公司台南廠,臺南市新市區永就里中山路261號
120.287634,23.073215,佳昌企業社社內廠,臺南市新市區社內里社內31之3號
120.274327,23.007688,首菖工業有限公司歸仁廠,臺南市歸仁區大廟里保大路3段366巷78弄1號
120.288867,23.006792,高靖工業有限公司歸仁廠,臺南市歸仁區西埔里西埔一街545巷8號
120.278704,22.983345,永昇行歸仁廠,臺南市歸仁區七甲里南丁路401號
120.276642,23.189117,櫻川坊麻豆廠,臺南市麻豆區寮?里寮子?190號
120.282777,22.992761,富鈜實業有限公司歸仁廠,臺南市歸仁區大廟里和順路2段58號
120.276301,23.006015,捷剛企業有限公司歸仁廠,臺南市歸仁區大廟里保吉路73巷31號
120.304945,23.022936,長熠林鋼鐵有限公司,臺南市新化區全興里竹子腳255號
120.212526,23.080366,榮進五金行安定廠,臺南市安定區中沙里中崙14之6號
120.270647,22.999652,新協億企業社永康廠,臺南市永康區東灣里民族路77巷86號
120.255403,23.005137,嘉明眼鏡實業社,臺南市永康區崑山里大灣路942巷271弄26號
120.232471,23.138413,台灣美王國際有限公司西港廠,臺南市西港區檨林里檨子林74之3號
120.183335,23.168676,祐旭有限公司佳里廠,臺南市佳里區六安里六安22之23號
120.28077,23.06682,成興企業工廠台南廠,臺南市新市區社內里社內143之90號
120.260217,22.976189,視廣實業社,臺南市仁德區一甲里忠義路138號
120.188014,22.925173,聯好企業有限公司工廠,臺南市南區同安里明興路1181巷124號
120.292552,22.978051,傑羚企業股份有限公司歸仁廠,臺南市歸仁區八甲里中正北路1段525巷17號
120.305575,23.02246,大川發鋼鐵行二廠,臺南市新化區全興里竹子腳258號
120.287768,23.010055,竑高企業有限公司歸仁廠,臺南市歸仁區西埔里西埔一街633巷77號
120.258019,23.126167,兆邑實業有限公司安定廠,臺南市安定區蘇林里蘇厝1之36號
120.297563,23.032717,大川發鋼鐵行大智廠,臺南市新化區豐榮里大智路186號
120.12772,23.077539,藝越企業股份有限公司台南二廠,臺南市安南區砂崙里城北路871巷87弄46號
120.235291,23.107422,益利實業社,臺南市安定區港尾里港子尾1之26號
120.191092,22.923575,億展鐵工所灣裡廠,臺南市南區同安里明興路1181巷198-1號
120.212573,23.177253,法寶實業有限公司台南廠,臺南市佳里區子龍里子良廟40之23號
120.263853,23.012491,書瑀企業有限公司永大廠,臺南市永康區西灣里文賢街488號
120.27833,22.992118,明珊科技有限公司二廠,臺南市歸仁區大廟里和順路2段207號
120.181439,23.036307,祈峰實業社,臺南市安南區海西里海環街281巷21號
120.205106,23.115338,煌田機電工作所,臺南市西港區西港里堀子頭85之8號
120.275941,22.991962,明珊科技有限公司三廠,臺南市歸仁區大廟里和順路2段289號
120.256834,23.006163,豐進模具廠永康廠,臺南市永康區崑山里大灣路942巷371弄3號
120.195595,23.117827,峰銘土木包工業一廠,臺南市西港區南海里大竹林63之18號
120.257397,22.938783,恒晟玻璃行仁德廠,臺南市仁德區上崙里上崙一街162號
120.251929,22.993554,順鴻工業有限公司永康廠,臺南市永康區崑山里崑大路155巷58弄101號B棟
120.331754,22.939501,衛全建材股份有限公司一廠,臺南市關廟區深坑里南雄路一段495巷33號
120.227768,23.059259,振旺企業社,臺南市安南區東和里長和路1段823巷137號
120.304181,23.063517,嘉隆商行一廠,臺南市新市區永就里46之26號
120.274863,22.975124,文發實業社歸仁廠,臺南市歸仁區七甲里南丁路73巷127號
120.189553,23.162012,天美手套針織廠,臺南市佳里區民安里同安寮45之21號
120.30254,22.955713,塑舜實業有限公司,臺南市歸仁區沙崙里二甲2號
120.226887,23.104979,川佳有限公司,臺南市安定區南安里油車6之28號
120.294972,23.054974,宏康鋼管股份有限公司新市廠,臺南市新市區永就里永就68之8號
120.278754,23.00812,汎鋼彈簧科技有限公司歸仁廠,臺南市歸仁區西埔里大埔路2段100號
120.234832,23.051697,三藝塑膠顏料有限公司工廠,臺南市安南區東和里長和路1段217巷25弄187號、189號
120.259524,22.977238,輿丞股份有限公司二廠,臺南市仁德區一甲里忠義一街28號
120.332601,22.966899,瑞昱城實業股份有限公司關廟廠,臺南市關廟區北勢里仁愛路330號
120.292591,23.000817,智冠企業社歸仁廠,臺南市歸仁區媽廟里保大路1段260巷90弄20號
120.279692,22.988372,新三益實業社工廠,臺南市歸仁區七甲里南潭三街32號
120.237099,23.169153,千野興業有限公司工廠,臺南市麻豆區安正里前班30號
120.296176,23.029426,翰達五金有限公司,臺南市新化區全興里竹子腳200之13號
120.269907,23.253856,梁鳴工業有限公司一廠,臺南市下營區甲中里中庄子46之15號
120.217123,22.926703,春羽實業社,臺南市仁德區二行里二仁路1段491巷163號
120.269938,23.254244,梁鳴工業有限公司二廠,臺南市下營區甲中里中庄子46之16號
120.2189,23.089867,亦鳴機械有限公司安定廠,臺南市安定區新吉里新吉19之15號
120.286278,23.302947,萬偉企業有限公司新營廠,臺南市新營區嘉芳里嘉芳街182號
120.231673,23.051086,映陞企業社長和廠,臺南市安南區東和里長和路一段217巷179弄16號
120.321343,22.960909,凱煜股份有限公司關廟廠,臺南市關廟區關廟里中山路二段211號
120.354251,22.91836,宏昇興企業有限公司,臺南市龍崎區楠坑里楠坑17號
120.194875,23.049211,升寶企業有限公司安南廠,臺南市安南區原佃里本原街1段167巷160弄49之5號
120.217648,23.079593,佑展科技有限公司工廠,臺南市安定區六嘉里六塊寮30之57號
120.124202,23.127178,佳德建材股份有限公司七股一廠,臺南市七股區溪南里溪南5之10號A棟
120.124202,23.127178,佳德建材股份有限公司七股二廠,臺南市七股區溪南里溪南5之10號B棟
120.221769,23.080941,提香食品有限公司,臺南市安定區六嘉里六塊寮41之3號
120.218449,23.091111,淳鈦工業有限公司安定廠,臺南市安定區新吉里新吉19之9號
120.20689,23.095026,鷹順塑膠機械股份有限公司,臺南市安定區海寮里海寮5之48號
120.273332,23.187802,復興鐵工所工廠,臺南市麻豆區南勢里南勢86之9號
120.206897,23.046161,玉明有限公司安南廠,臺南市安南區總頭里北安路3段299號
120.205727,23.064539,進益刀具企業社工廠,臺南市安南區布袋里長和路4段253巷47號
120.123895,23.095876,宏羽實業社,臺南市七股區永吉里永吉90號
120.231294,23.098976,大展企業社,臺南市安定區港尾里港子尾56之29號
120.336922,22.967479,弘麒工程行工廠,臺南市關廟區北勢里仁愛路608號
120.154687,23.189675,燁成實業有限公司,臺南市將軍區長榮里長榮179之26號
120.183395,23.068384,廣佶工業有限公司,臺南市安南區佃東里公學路3段353號、357號
