名稱,分類,定位地址,回報地址,X坐標,Y座標,來源
坪頂,站牌,,,207872.3938,2675703.628,Opendata
東海別墅,站牌,,,208700.507,2675316.885,Opendata
榮總/東海大學,站牌,,,209725.1941,2675335.098,Opendata
玉門路,站牌,,,210409.7312,2675502.515,Opendata
澄清醫院,站牌,,,211107.9008,2675237.328,Opendata
中港新城,站牌,,,211347.6492,2675144.792,Opendata
福安,站牌,,,211734.1258,2674921.092,Opendata
秋紅谷,站牌,,,213389.3529,2673746.749,Opendata
新光/遠百,站牌,,,213760.9601,2673434.585,Opendata
市政府,站牌,,,214353.9682,2673108.695,Opendata
頂何厝,站牌,,,215030.1051,2672691.587,Opendata
忠明國小,站牌,,,215372.3577,2672484.31,Opendata
科博館,站牌,,,215773.2891,2672248.768,Opendata
中正國小,站牌,,,216181.1659,2671979.664,Opendata
茄苳腳,站牌,,,216623.9384,2671590.436,Opendata
臺灣大道原子街口,站牌,,,216933.5166,2671308.848,Opendata
臺灣大道中華路口,站牌,,,217139.312,2671088.531,Opendata
仁愛醫院,站牌,,,217297.5122,2670970.992,Opendata
第二市場(臺灣大道),站牌,,,217487.0318,2670784.09,Opendata
彰化銀行(臺灣大道),站牌,,,217735.5267,2670562.762,Opendata
第一廣場,站牌,,,217841.2746,2670449.778,Opendata
第一廣場,站牌,,,217851.3109,2670429.513,Opendata
第二市場(臺灣大道),站牌,,,217487.0318,2670784.09,Opendata
仁愛醫院,站牌,,,217297.5122,2670970.992,Opendata
臺灣大道中華路口,站牌,,,217139.312,2671088.531,Opendata
臺灣大道原子街口,站牌,,,216933.5166,2671308.848,Opendata
茄苳腳,站牌,,,216562.3505,2671675.748,Opendata
中正國小,站牌,,,216280.9512,2671933.244,Opendata
科博館,站牌,,,215773.2891,2672248.768,Opendata
忠明國小,站牌,,,215368.041,2672506.027,Opendata
頂何厝,站牌,,,215076.4786,2672706.167,Opendata
市政府,站牌,,,214310.7658,2673142.804,Opendata
新光/遠百,站牌,,,213840.1005,2673428.292,Opendata
秋紅谷,站牌,,,213389.3529,2673746.749,Opendata
福安,站牌,,,211734.1258,2674921.092,Opendata
中港新城,站牌,,,211409.6799,2675097.401,Opendata
澄清醫院,站牌,,,211062.6182,2675285.74,Opendata
玉門路,站牌,,,210409.7312,2675502.515,Opendata
榮總/東海大學,站牌,,,209658.5675,2675343.15,Opendata
東海別墅,站牌,,,208694.6967,2675345.255,Opendata
坪頂,站牌,,,207942.9565,2675684.144,Opendata
正英路,站牌,,,207488.9914,2678291.295,Opendata
弘光科技大學,站牌,,,207396.6116,2679122.222,Opendata
晉江寮,站牌,,,207310.7643,2679588.751,Opendata
靜宜大學,站牌,,,207041.0169,2680065.362,Opendata
靜宜大學,站牌,,,207012.3425,2680091.406,Opendata
晉江寮,站牌,,,207251.1573,2679660.92,Opendata
弘光科技大學,站牌,,,207379.3256,2679149.851,Opendata
正英路,站牌,,,207469.5037,2678330.339,Opendata
坪頂,站牌,,,207872.3938,2675703.628,Opendata
東海別墅,站牌,,,208700.507,2675316.885,Opendata
榮總/東海大學,站牌,,,209725.1941,2675335.098,Opendata
玉門路,站牌,,,210409.7312,2675502.515,Opendata
澄清醫院,站牌,,,211107.9008,2675237.328,Opendata
中港新城,站牌,,,211347.6492,2675144.792,Opendata
福安,站牌,,,211734.1258,2674921.092,Opendata
秋紅谷,站牌,,,213389.3529,2673746.749,Opendata
新光/遠百,站牌,,,213760.9601,2673434.585,Opendata
市政府,站牌,,,214353.9682,2673108.695,Opendata
頂何厝,站牌,,,215030.1051,2672691.587,Opendata
忠明國小,站牌,,,215372.3577,2672484.31,Opendata
科博館,站牌,,,215773.2891,2672248.768,Opendata
中正國小,站牌,,,216181.1659,2671979.664,Opendata
茄苳腳,站牌,,,216623.9384,2671590.436,Opendata
臺灣大道原子街口,站牌,,,216933.5166,2671308.848,Opendata
臺灣大道中華路口,站牌,,,217139.312,2671088.531,Opendata
仁愛醫院,站牌,,,217297.5122,2670970.992,Opendata
第二市場(臺灣大道),站牌,,,217487.0318,2670784.09,Opendata
彰化銀行(臺灣大道),站牌,,,217735.5267,2670562.762,Opendata
第一廣場,站牌,,,217841.2746,2670449.778,Opendata
干城站,站牌,,,218093.5061,2670666.246,Opendata
臺中公園(雙十路),站牌,,,218103.4159,2671006.782,Opendata
中興堂,站牌,,,217934.868,2671257.052,Opendata
國立臺中科技大學,站牌,,,217890.3677,2671623.037,Opendata
中友百貨,站牌,,,218006.4255,2671940.261,Opendata
