編號,基準地編號,土地標示,地價(元/m²),面積(m²),形狀及寬深比(m),使用分區或編定用地,建蔽率(%),容積率(%),地上建物門牌,地上建物型態及建物名稱,較去年漲跌(%)
60,D06BA0013,臺南市安南區天馬段27地號,82600,78.1,長方形5.0:15.6,「住三-1」住宅區,55,165,臺南市安南區安中路四段31號,透天住家用,1.11
61,D06BA0014,臺南市安南區淵東段833地號,70500,120.94,長方形4.5:26.8,「住三-1」住宅區,55,165,臺南市安南區本原街三段159號,透天捷誠電腦,1.3
62,D06BA0016,臺南市安南區海佃段1259地號,94400,96.95,長方形4.8:20.2,「住一」住宅區,50,120,臺南市安南區國安街60號,透天東方美早餐店,0
63,D06BA0018,臺南市安南區新淵段34-4地號,93500,86.13,長方形4.6:18.7,「住四」住宅區,60,180,臺南市安南區海佃路三段310號,透天住家用,1.98
64,D06BA0019,臺南市安南區溪東段102地號,96800,97.88,長方形4.7:21.0,「住一」住宅區,50,120,臺南市安南區北安路二段67號,透天住家用,0.63
65,D06BA0020,臺南市安南區外塭段877-34地號,92000,93,長方形4.2:22.1,「住三-1」住宅區,55,165,臺南市安南區安和路五段254號,透天鳳慈素食,1
66,D06BA0021,臺南市安南區州南段97地號,92300,89,長方形3.7:24.1,「住三-1」住宅區,55,165,臺南市安南區安和路四段592號,透天電腦彩券行,0.66
67,D06BA0022,臺南市安南區佃西段321地號,39300,111.63,長方形4.5:24.8,「住三」住宅區,60,165,臺南市安南區公學路四段336號,透天住家用,0
68,D06BA0023,臺南市安南區新順段1171-2地號,97100,113.99,長方形4.6:24.7,「住六」住宅區,60,240,臺南市安南區北安路三段426號,透天住家用,0.31
69,D06BA0024,臺南市安南區海東段1480地號,77700,94.6,長方形5.0:18.9,「住一」住宅區,50,120,臺南市安南區大安街32號,透天住家用,1.58
70,D06BA0025,臺南市安南區海北段848地號,89200,101.13,長方形4.9:20.7,「住五」住宅區,60,210,臺南市安南區海佃路二段776號,透天昱豐空調技術公司,0.34
71,D06BA0027,臺南市安南區城南段26地號,42700,101.42,長方形3.8:26.6,「住三-1」住宅區,55,165,臺南市安南區城西街一段23號,透天一吉餅店,0.71
