編號,基準地編號,土地標示,地價(元/m²),面積(m²),形狀及寬深比(m),使用分區或編定用地,建蔽率(%),容積率(%),地上建物門牌,地上建物型態及建物名稱,較去年漲跌(%),
101,D08BA0006,臺南市中西區新臨安段934地號,107000,91,長方形4.8:18.8,,住五住宅區,60,210,臺南市中西區大新街55號,透天住家用,117.18
102,D08BA0011,臺南市中西區南門段1264地號,153000,99.04,長方形5.7:17.3,,「住五」住宅區,60,210,臺南市中西區忠義路一段47號,透天住家用,45.82
103,D08BA0012,臺南市中西區武聖段1367地號,110000,88.85,長方形4.6:19.3,,「住四」住宅區,60,180,臺南市中西區武聖路69巷45號,透天夾物店鋪,84.34
104,D08BA0013,臺南市中西區頂美段1512-42地號,172000,116.02,長方形4.5:25.7,,「住四」住宅區,60,180,臺南市中西區中華西路二段777號,透天住家用,5.75
105,D08BA0015,臺南市中西區頂美段984-9地號,146000,122.62,長方形5.1:24.0,,「住四」住宅區,60,180,臺南市中西區和緯路五段217號,透天住家用,3.42
106,D08BA0018,臺南市中西區環河段2586地號,188000,493,長方形9.7:50.8,,住五住宅區,60,210,臺南市中西區永華路一段348號,透天元大銀行,
107,D08BB0004,臺南市中西區中正段500地號、中正段501地號,336000,104.76,長方形4.8:21.3,,商四(1)商業區,80,320,臺南市中西區中正路224號,透天ETUDE HOUSE,8.93
108,D08BB0007,臺南市中西區中山段401地號,197000,74.36,長方形4.3:17.4,,「商四(1)」商業區,80,320,臺南市中西區民權路一段252號,透天雅維麗飾品店,55.5
109,D08BB0008,臺南市中西區中正段194地號,212000,104.83,長方形4.5:23.1,,商四(1)商業區,80,320,臺南市中西區民生路二段79號,透天吾皇萬歲工夫手作麵,62.41
110,D08BB0009,臺南市中西區永福段645地號,190000,77.4,長方形4.2:18.4,,「商四(1)」商業區,80,320,臺南市中西區永福路二段142-1號,透天My賣飲料,51.93
111,D08BB0010,臺南市中西區星鑽段1923地號,188000,85.5,長方形4.7:18.3,,「商四(1)」商業區,80,320,臺南市中西區康樂街191號,透天住家用,50.48
112,D08BB0014,臺南市中西區廣慈段65地號,384000,96.36,長方形4.8:20.1,,「商四(1)」商業區,80,320,臺南市中西區北門路一段145號,透天深白服飾店,18.36
113,D08BB0016,臺南市中西區新美段95地號、新美段96地號、新美段97地號、新美段98地號,265000,99.4,長方形6.9:14.5,,「商四(1)」商業區,80,320,臺南市中西區民族路二段373號,透天道 足底養生館,10.33
114,D08BB0017,臺南市中西區廣慈段145地號,474000,4366.03,不規則形17.0:109.0,,「商四(1)」商業區,80,320,臺南市中西區中山路162號,透天新光三越中山店,
115,D09BA0002,臺南市新營區民治段538地號,98300,117.12,長方形4.9:23.9,,住宅區,60,200,臺南市新營區三民路106之12號,透天樂恩聯合診所,18.61
116,D09BB0001,臺南市新營區民權段1126地號,162000,81.91,長方形4.2:19.5,,商業區,80,320,臺南市新營區民權路18號,透天大福帆布行,16.05
117,D09BD0005,臺南市新營區嘉芳段47地號,40800,2232,長方形37.2:60.0,,乙種工業區,70,210,臺南市新營區復興路1129號,透天顏氏興業有限公司,
118,D09BF0006,臺南市新營區新卯舍段388地號,11500,2066.03,長方形25.8:80.0,,農業區,0,0,,素地,
119,D10BA0001,臺南市鹽水區朝琴段75地號,65000,84.72,長方形4.8:17.7,,住宅區,60,180,臺南市鹽水區朝琴路85號,透天住家用,16.22
120,D10BB0001,臺南市鹽水區朝琴段670地號,67500,101.39,長方形4.5:22.5,,商業區,80,240,臺南市鹽水區三福路76號,透天商行,19.25
121,D10BB0002,臺南市鹽水區朝琴段361地號,80500,57.48,長方形3.8:15.1,,商業區,80,240,臺南市鹽水區朝琴路3之1號,透天銀樓,
122,D10BD0003,臺南市鹽水區竹圍尾段38-1地號,31200,4346,梯形43.5:100.0,,乙種工業區,70,210,臺南市鹽水區五福路156號,透天台灣銅業科技(股)公司,
123,D10BF0004,臺南市鹽水區鹽水段1616-2地號,11700,505,長方形13.8:36.6,,農業區,0,0,,素地,
124,D11BA0001,臺南市柳營區柳南段8地號,37200,96.18,長方形4.0:24.0,,住宅區,60,200,臺南市柳營區中山西路二段87號,透天愛迪兒安親才藝班,21.78
125,D11BB0001,臺南市柳營區柳中段1066地號,68700,78.23,長方形5.6:14.0,,商業區,80,320,臺南市柳營區柳營路二段6號,透天住家用,77.34
126,D11BB0002,臺南市柳營區柳南段164地號,74100,77.9,長方形4.0:19.5,,商業區,80,320,中山西路二段137號,透天正飲行,
127,D11BD0003,臺南市柳營區人和段746地號、人和段747地號,19200,134.55,長方形7.0:19.2,,乙種工業區,70,210,臺南市柳營區柳營路三段299號,透天長輝工業有限公司,
128,D11BF0004,臺南市柳營區士林段553地號,13000,395.71,長方形11.3:35.0,,農業區,0,0,,素地,
129,D12BA0002,臺南市白河區永安段406-2地號,39300,80,長方形4.5:17.8,,住宅區,60,180,臺南市白河區三民路445號,透天偉傑代書事務所,19.27
130,D12BB0001,臺南市白河區永安段28地號,64700,127,長方形4.9:25.8,,商業區,80,300,臺南市白河區中山路93號,透天年代眼鏡公司,30.49
131,D12BD0003,臺南市白河區新興段22地號,15600,2704,長方形27.2:99.2,,乙種工業區,70,210,臺南市白河區中山路535號,透天康美運動科技有限公司,
132,D12BF0004,臺南市白河區永安段605地號,10000,2268,長方形30.6:74.0,,農業區,0,0,,素地,
133,D13BA0001,臺南市後壁區頭前段993地號,26500,72.55,長方形4.2:17.3,,住宅區,60,150,臺南市後壁區後壁里後壁170之43號,透天住家用,78.25
134,D13BA0002,臺南市後壁區頭前段504地號,34200,99.61,長方形5.2:19.2,,住宅區,60,150,臺南市後壁區後壁134號,透天住家用,
