編號,基準地編號,土地標示,地價(元/m²),面積(m²),形狀及寬深比(m),使用分區或編定用地,建蔽率(%),容積率(%),地上建物門牌,地上建物型態及建物名稱,較去年漲跌(%)
126,D21BB0001,臺南市西港區慶安段778地號,47800,88.44,長方形3.5:22.6,商業區,80,320,臺南市西港區西港里中山路350號,透天千日好診所,1.28
127,D22BA0001,臺南市七股區七股段693-35地號,20000,70,長方形3.7:18.9,「住一」住宅區,60,180,臺南市七股區玉成里玉成143號,透天元之氣早餐店,1.54
128,D23BA0001,臺南市將軍區西華段369地號,22100,106.37,長方形4.5:23.6,住宅區,60,150,臺南市將軍區西華里西華65之37號,透天住家用,0.83
129,D23BB0001,臺南市將軍區西華段109地號,30000,105.63,長方形5.7:18.5,商業區,80,240,臺南市將軍區西華里西華2之5號,透天住家用,1.95
130,D24BA0001,臺南市北門區保吉段140地號,7100,89.51,長方形4.5:19.9,住宅區,60,200,臺南市北門區保吉里蚵寮126號,透天住家用,0.43
131,D24BB0001,臺南市北門區保吉段335地號,12000,94,長方形4.2:22.3,商業區,80,280,臺南市北門區保吉里蚵寮202之1號,透天住家用,1.28
132,D25BA0002,臺南市學甲區興善段581地號,23400,83.11,長方形4.5:18.3,住宅區,60,200,臺南市學甲區仁得里建國路118號,透天住家用,2.11
133,D25BB0001,臺南市學甲區慈濟段802地號、慈濟段803地號,69600,72.87,長方形3.9:18.6,商業區,80,320,臺南市學甲區慈福里中正路240號,透天韓式泡菜鍋,1.32
134,D26BA0002,臺南市新化區新東段697地號,51700,78.27,長方形4.4:17.5,住宅區,60,180,臺南市新化區復興路236號,透天住家用,3.01
135,D26BB0002,臺南市新化區新音段341地號,95600,76.6,長方形4.3:17.8,商業區,80,300,臺南市新化區中山路264號,透天摩提夫,2.93
136,D27BA0004,臺南市善化區善昌段1100-16地號,54500,79.2,長方形4.4:18.0,住宅區,60,180,臺南市善化區光復路142之1號,透天住家用,2.27
137,D27BB0008,臺南市善化區善文段542地號、善文段543地號,112000,99.65,長方形4.5:22.1,商業區,80,300,臺南市善化區中正路483號,透天政惠牙醫診所,2.5
138,D28BA0001,臺南市新市區華興段846地號,60800,83.29,長方形4.5:18.6,住宅區,60,180,臺南市新市區忠孝街165號,透天住家用,2.55
139,D28BB0002,臺南市新市區永安段698地號,126000,123.04,長方形5.0:24.6,商業區,80,300,臺南市新市區中興街61號,透天慶記百貨行,3.21
140,D29BA0001,臺南市安定區保加段447地號、保加段456地號,25600,219.56,長方形7.6:28.4,住宅區,60,150,臺南市安定區安定264之5號,透天永翊成瓦斯行,2.79
141,D29BB0001,臺南市安定區保加段637-2地號,40200,92.08,長方形4.5:20.4,商業區,80,240,臺南市安定區安定396之3號,透天克里姆晨食店,2.31
142,D30BA0001,臺南市山上區明南段188-2地號,19800,75.2,長方形4.3:17.5,住宅區,60,180,臺南市山上區明和路62之2號,透天住宅,2.18
143,D30BB0002,臺南市山上區樹王段663地號,40800,60.88,長方形3.6:16.9,商業區,80,260,臺南市山上區南洲55號,透天三陽機車行,2.27
144,D31EB0001,臺南市左鎮區左鎮段570-141地號,12400,88,長方形4.4:21.0,乙種建築用地,60,240,臺南市左鎮區中正路156之10號,透天佳行診所,2
145,D32BA0001,臺南市仁德區義林段38-1地號,35700,106.2,長方形4.5:23.6,住宅區,60,200,臺南市仁德區義林六街55號,透天住家用,2.61
146,D32BB0002,臺南市仁德區正義段900地號,122000,100.93,長方形4.6:21.9,商業區,80,350,臺南市仁德區中山路572號,透天仁愛牙醫,2.54
147,D33BA0004,臺南市歸仁區歸仁北段492-6地號、歸仁北段498-8地號、歸仁北段498-5地號,106000,80,長方形4.3:18.6,住宅區,60,200,臺南市歸仁區中山路二段211號,透天宏仁牙醫,3.23
