"編號","基準地編號","土地標示","地價(元/m²)","面積(m²)","形狀及寬深比(m)","使用分區或編定用地","建蔽率(%)","容積率(%)","地上建物門牌","地上建物型態及建物名稱","較去年漲跌(%)","geometry"
"36","D04BA0006","臺南市北區仁愛段42-150地號","97400","88","長方形4.3:20.5","「住三」住宅區","60","165","臺南市北區東豐路361號","透天住家用","0.94","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.22513646867542,23.002598596442628],[120.22509330015305,23.002605434168096],[120.22512492020694,23.002778189479628],[120.2251438013746,23.00277573625844],[120.22516968557892,23.00277169638426],[120.22513646867542,23.002598596442628]]]}"
"37","D04BA0007","臺南市北區大興段235-1地號、大興段236-1地號","76500","73.19","長方形4.0:18.3","「住四」住宅區","60","180","臺南市北區文賢路875號","透天喬瓦尼服飾店","2.43","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.19297228300466,23.017722767356005],[120.1929632040051,23.01775908433901],[120.19311719921275,23.017784617263803],[120.19312306161878,23.0177476707317],[120.19297228300466,23.017722767356005]]]}"
"38","D04BA0010","臺南市北區光賢段534-3地號","58700","107.49","長方形4.3:24.9","「住四」住宅區","60","180","臺南市北區賢北街8號","透天住家用","4.86","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.18403956776305,23.00635270908612],[120.18402438581862,23.006389004054732],[120.18425021776748,23.00646997552228],[120.18426742428846,23.006434404337664],[120.18403956776305,23.00635270908612]]]}"
"39","D04BA0011","臺南市北區延平段1102-1地號","93200","91","長方形4.8:19.0","「住四」住宅區","60","180","臺南市北區公園路764號","透天住家用","2.33","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.21120298222823,23.01088936235824],[120.21102667559731,23.01094311344692],[120.21104076719922,23.01098464548948],[120.21119381544896,23.010937841877272],[120.21121668879657,23.010930852735708],[120.21120298222823,23.01088936235824]]]}"
"40","D04BA0013","臺南市北區北元段159地號","118000","171.98","長方形5.8:29.7","「住四」住宅區","60","180","臺南市北區海安路三段933號","透天住家用"," ","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.19960506134221,23.018013188520296],[120.19959596406834,23.018058848372746],[120.19959508140028,23.018063275882707],[120.19988747602183,23.01811603607049],[120.19989126017602,23.018095370849533],[120.19989312595604,23.018085030881974],[120.19989654468588,23.018065784248538],[120.19960506134221,23.018013188520296]]]}"
"41","D04BB0003","臺南市北區自強段258地號","127000","89","長方形4.6:19.4","「商四(1)商業區」","80","320","臺南市北區成功路72、76號","透天心心藥局","-0.24"," "
"42","D04BB0005","臺南市北區北安段563地號","74100","82.63","長方形4.6:18.0","「商五(19)」商業區","60","360","臺南市北區北安路一段97號","透天弘昌鈑金材料行","2.08","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.21003555991979,23.01634567897925],[120.2099989558039,23.0163709178974],[120.2101030430264,23.016499666801447],[120.21013953661542,23.016474480586194],[120.21003555991979,23.01634567897925]]]}"
"43","D04BB0008","臺南市北區開元段975地號","102000","136","長方形4.5:30.2","「商四(1)」商業區","80","320","臺南市北區開元路341號","透天佑昇照相館","4.97","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.22211181840923,23.00852763218106],[120.22195505708034,23.008757612879744],[120.22199193685779,23.00877899777678],[120.22207923552016,23.00865192737212],[120.22214920259772,23.008549166710598],[120.22211181840923,23.00852763218106]]]}"
"44","D04BB0012","臺南市北區北元段980-65地號","151000","91.29","長方形4.5:20.3","商業區商32(附)","60","250","臺南市北區和緯路二段492號","透天LG科昌電器"," ","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.20157331974548,23.01217363425697],[120.20150144493694,23.012343994122773],[120.20154233543408,23.012358775851354],[120.20161446545728,23.012187808623892],[120.20159302009336,23.012180457426062],[120.20157331974548,23.01217363425697]]]}"
"45","D06BA0001","臺南市安南區新順段1000地號","46000","97.41","長方形4.4:22.1","「住六」住宅區","60","240","臺南市安南區安和路三段97號","透天?酥雞大王","2.7","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.21762113159866,23.04596337536795],[120.21741907471117,23.046010054508923],[120.21742381824681,23.04605035221164],[120.21763632961392,23.046001286661067],[120.21762113159866,23.04596337536795]]]}"
